CMPLNT_FR_DT,Latitude,Longitude,BORO_NM
2019,40.727537281000025,-74.00096476899995,MANHATTAN
2019,40.76930608700008,-73.91550817999997,QUEENS
2019,40.85660622800003,-73.89108676299998,BRONX
2019,40.73619986800003,-73.88219758399998,QUEENS
2019,40.67998073800004,-73.77623390699993,QUEENS
2019,40.86923916200004,-73.89603756999998,BRONX
2019,40.81948754300004,-73.926879392,BRONX
2019,40.69008097200003,-73.96055993199997,BROOKLYN
2019,40.78081715900004,-73.98375271599998,MANHATTAN
2019,40.801509200000055,-73.94049453299994,MANHATTAN
2019,40.841584606000026,-73.91778363799993,BRONX
2019,40.590861102000076,-73.97548883699994,BROOKLYN
2019,40.71566436900008,-73.73553543099996,QUEENS
2019,40.79090586900003,-73.84750014199994,QUEENS
2019,40.84376218800003,-73.91174515299997,BRONX
2019,40.70831243400005,-74.01125137499997,MANHATTAN
2019,40.61831709800003,-74.00412577599997,BROOKLYN
2019,40.754100721000036,-73.99207885699997,MANHATTAN
2019,40.83594059300003,-73.89032193799993,BRONX
2019,40.720395421000035,-74.00104403099994,MANHATTAN
2019,40.68003423400006,-73.79461757999997,QUEENS
2019,40.83536541500007,-73.89761190699994,BRONX
2019,40.872967483000025,-73.87494056299995,BRONX
2019,40.76507393600008,-73.82005121899994,QUEENS
2019,40.864140648000046,-73.89131303799998,BRONX
2019,40.619504093000046,-74.01902414899996,BROOKLYN
2019,40.693127455000074,-73.96881244999997,BROOKLYN
2019,40.69980837500003,-73.74677834999993,QUEENS
2019,40.68938951800004,-73.92302313399993,BROOKLYN
2019,40.729939364000074,-73.81043314199997,QUEENS
2019,40.82445246300006,-73.94074500599999,MANHATTAN
2019,40.86423534200002,-73.89577785499995,BRONX
2019,40.71133483800003,-74.00547336499993,MANHATTAN
2019,40.710093847000046,-74.01060962999998,MANHATTAN
2019,40.84390125500005,-73.900504632,BRONX
2019,40.740095421000035,-73.97929155999998,MANHATTAN
2019,40.844156600000076,-73.90060544899995,BRONX
2019,40.582733235000035,-73.97320574399998,BROOKLYN
2019,40.84299535500002,-73.92168162399997,BRONX
2019,40.829163304000076,-73.93727189399993,MANHATTAN
2019,40.86071697500005,-73.89925031699994,BRONX
2019,40.87720698700008,-73.85525755799993,BRONX
2019,40.80022202900005,-73.93084834199995,MANHATTAN
2019,40.72437959500007,-73.98324334599994,MANHATTAN
2019,40.75757811200003,-73.98954452399995,MANHATTAN
2019,40.64161200000007,-74.00679005299997,BROOKLYN
2019,40.748695941000044,-73.88412439699994,QUEENS
2019,40.82434298300007,-73.95337682399997,MANHATTAN
2019,40.57399138200003,-73.99727290399994,BROOKLYN
2019,40.88271780700006,-73.88124724999993,BRONX
2019,40.78301229500005,-73.776931226,QUEENS
2019,40.75099904800004,-73.99062471199994,MANHATTAN
2019,40.81644015400008,-73.91762683799993,BRONX
2019,40.67756763800003,-73.94142350699997,BROOKLYN
2019,40.74135212300007,-73.88526308199994,QUEENS
2019,40.62529038200007,-73.96046852899997,BROOKLYN
2019,40.833584296000026,-73.86107294299995,BRONX
2019,40.68689852000005,-73.97586459299998,BROOKLYN
2019,40.669874185000026,-73.88112152899998,BROOKLYN
2019,40.75238719900005,-73.97034392199998,MANHATTAN
2019,40.742976319000036,-73.89918296599996,QUEENS
2019,40.788721243000055,-73.93999677399995,MANHATTAN
2019,40.72473128600007,-73.98594549299997,MANHATTAN
2019,40.60810987100007,-73.75803871499993,QUEENS
2019,40.70289175700003,-73.90226953099993,QUEENS
2019,40.70839862900005,-73.76445570099996,QUEENS
2019,40.656923240000026,-73.93964677899999,BROOKLYN
2019,40.62912045100006,-73.99289706999997,BROOKLYN
2019,40.85882274800008,-73.86177577299998,BRONX
2019,40.736690717000045,-73.89596652899996,QUEENS
2019,40.75043076800005,-73.98928217599996,MANHATTAN
2019,40.72233586900006,-73.99518882699994,MANHATTAN
2019,40.67934603300005,-73.89482656399997,BROOKLYN
2019,40.853323123000045,-73.90289074399993,BRONX
2019,40.74909012500007,-73.88040271599994,QUEENS
2019,40.78887590500005,-73.95401557499997,MANHATTAN
2019,40.877834206000045,-73.90075037499997,BRONX
2019,40.68484462600002,-73.96258939499995,BROOKLYN
2019,40.64944812400006,-73.96307772599994,BROOKLYN
2019,40.709564416000035,-74.00643628099994,MANHATTAN
2019,40.69691954100006,-73.96471393499998,BROOKLYN
2019,40.58791079600008,-74.10300888799998,STATEN ISLAND
2019,40.66331442400008,-73.94799976199994,BROOKLYN
2019,40.85832086300008,-73.91644707599994,BRONX
2019,40.826163303000044,-73.87115146299993,BRONX
2019,40.770781285000055,-73.91726090799993,QUEENS
2019,40.61459797600002,-73.99959803399997,BROOKLYN
2019,40.81710570200005,-73.90507153199997,BRONX
2019,40.687447672000076,-73.81727872399993,QUEENS
2019,40.665574263000046,-73.76431495099996,QUEENS
2019,40.69035535800003,-73.96029293099998,BROOKLYN
2019,40.76502407900006,-73.98483594999993,MANHATTAN
2019,40.66350055800007,-73.92687375799993,BROOKLYN
2019,40.69269115100008,-73.80129308899996,QUEENS
2019,40.631257160000075,-73.94599639799998,BROOKLYN
2019,40.71761772000008,-74.00128568299994,MANHATTAN
2019,40.757240531000036,-73.98979363699993,MANHATTAN
2019,40.661580695000055,-73.95700124099994,BROOKLYN
2019,40.69179644800005,-73.94124513099996,BROOKLYN
2019,40.739505856000044,-73.98266577699997,MANHATTAN
2019,40.656002929000074,-73.90917875599996,BROOKLYN
2019,40.69536744700008,-73.98324342499996,BROOKLYN
2019,40.67229641100005,-73.92940560899994,BROOKLYN
