CMPLNT_FR_DT,Latitude,Longitude,PATROL_BORO
2019,40.74704352800006,-73.98712814799995,PATROL BORO MAN SOUTH
2019,40.69065847000007,-73.86449709799997,PATROL BORO QUEENS SOUTH
2019,40.719956370000034,-73.93861566699997,PATROL BORO BKLYN NORTH
2019,40.67928439700007,-73.92905930999996,PATROL BORO BKLYN NORTH
2019,40.84897216000007,-73.90887914599993,PATROL BORO BRONX
2019,40.84198992200004,-73.92449461799998,PATROL BORO BRONX
2019,40.76048946000003,-73.93124695499995,PATROL BORO QUEENS NORTH
2019,40.87811037400007,-73.85338605799996,PATROL BORO BRONX
2019,40.608861932000025,-73.958040021,PATROL BORO BKLYN SOUTH
2019,40.73643595700002,-73.95691324499995,PATROL BORO BKLYN NORTH
2019,40.62109470000007,-73.93808700499993,PATROL BORO BKLYN SOUTH
2019,40.634690343000045,-74.10303425999997,PATROL BORO STATEN ISLAND
2019,40.69892587400005,-73.92888333599996,PATROL BORO BKLYN NORTH
2019,40.693124255000036,-73.82458352699997,PATROL BORO QUEENS SOUTH
2019,40.79630952200006,-73.93828522599993,PATROL BORO MAN NORTH
2019,40.76339324800006,-73.81429436999997,PATROL BORO QUEENS NORTH
2019,40.82117169600008,-73.92104251199999,PATROL BORO BRONX
2019,40.82840312600007,-73.88151401499994,PATROL BORO BRONX
2019,40.577674096000074,-73.98605562899996,PATROL BORO BKLYN SOUTH
2019,40.86141820300003,-73.90738708899994,PATROL BORO BRONX
2019,40.87394125000003,-73.88491497299998,PATROL BORO BRONX
2019,40.76365286300006,-73.97558408999998,PATROL BORO MAN SOUTH
2019,40.717095638000046,-73.80330900899997,PATROL BORO QUEENS SOUTH
2019,40.712009611000035,-73.82545724799998,PATROL BORO QUEENS SOUTH
2019,40.67110691100004,-73.88143295699997,PATROL BORO BKLYN NORTH
2019,40.81185269700006,-73.90225764899996,PATROL BORO BRONX
2019,40.72479293300007,-73.97678528999995,PATROL BORO MAN SOUTH
2019,40.73340539900005,-74.00635198699995,PATROL BORO MAN SOUTH
2019,40.67999497900007,-73.86446468399998,PATROL BORO BKLYN NORTH
2019,40.77496742900007,-73.95889576199994,PATROL BORO MAN NORTH
2019,40.69240464800004,-73.92944562199995,PATROL BORO BKLYN NORTH
2019,40.76771663900007,-73.97050677199996,PATROL BORO MAN NORTH
2019,40.71601201200008,-73.99733202999995,PATROL BORO MAN SOUTH
2019,40.69612517000007,-73.97043025099998,PATROL BORO BKLYN NORTH
2019,40.62179546700002,-74.08242401199995,PATROL BORO STATEN ISLAND
2019,40.685272342000076,-73.76370808499998,PATROL BORO QUEENS SOUTH
2019,40.697900491000034,-73.745415182,PATROL BORO QUEENS SOUTH
2019,40.84640903700006,-73.89337329799997,PATROL BORO BRONX
2019,40.74928579900006,-73.87854005699995,PATROL BORO QUEENS NORTH
2019,40.82203993500008,-73.89173226699995,PATROL BORO BRONX
2019,40.723030387000044,-73.99881451399995,PATROL BORO MAN SOUTH
2019,40.66998418500003,-73.94214392299993,PATROL BORO BKLYN NORTH
2019,40.78621991600005,-73.94963350599994,PATROL BORO MAN NORTH
2019,40.82305625200007,-73.94242273799993,PATROL BORO MAN NORTH
2019,40.74873901600006,-73.75292995299998,PATROL BORO QUEENS NORTH
2019,40.513425575000035,-74.25047222399996,PATROL BORO STATEN ISLAND
2019,40.87512101100003,-73.90899518299993,PATROL BORO BRONX
2019,40.84453442900008,-73.90272285899994,PATROL BORO BRONX
2019,40.726293088000034,-73.73476084899994,PATROL BORO QUEENS SOUTH
2019,40.82305625200007,-73.94242273799993,PATROL BORO MAN NORTH
2019,40.87367103500002,-73.90801364899994,PATROL BORO BRONX
2019,40.84940928900005,-73.90303019599996,PATROL BORO BRONX
2019,40.67272416400005,-73.89031635999999,PATROL BORO BKLYN NORTH
2019,40.702426418000066,-73.81247696799994,PATROL BORO QUEENS SOUTH
2019,40.76560488500007,-73.97812481799998,PATROL BORO MAN SOUTH
2019,40.80911538300006,-73.92288828399995,PATROL BORO BRONX
2019,40.75452094700007,-73.87178091699997,PATROL BORO QUEENS NORTH
2019,40.84079686100006,-73.91400066299997,PATROL BORO BRONX
2019,40.86652284100006,-73.89404245199995,PATROL BORO BRONX
2019,40.90332271500005,-73.84884475299998,PATROL BORO BRONX
2019,40.67542445200007,-73.81318378899994,PATROL BORO QUEENS SOUTH
